"Name"|"Type"|"SPICE model"|"Triode Connection"
"21KA6"|"B"|"6GY5"|"6GY5T"
"21LG6-A"|"B"|"6LG6"|"6LG6T"
"25E5"|"B"|"25E5"|"25E5T"
"26HU5"|"B"|"6KD6"|"6KD6T"
"26LX6"|"B"|"6KD6"|"6KD6T"
"30A5"|"P"|"6CW5"|"6CW5T"
"31LZ6"|"B"|"31LZ6"|"31LZ6T"
"35C5"|"B"|"35C5"|"35C5T"
"36MC6"|"B"|"6KD6"|"6KD6T"
"50C-A10"|"T"|"6CA10"|
"50H-B26"|"B"|"50HB26"|"50HB26T"
"62BT"|"B"|"62BT"|"62BTT"
"10"|"T"|"10, 801"|
"12A"|"T"|"12A"|
"27"|"T"|"27"|
"41"|"P"|"6K6"|"6K6T"
"41MXP"|"T"|"41MXP"|
"42"|"P"|"6F6"|"6F6T"
"45"|"T"|"45"|
"46 Hi-É  Triode Connection"|"dual-grid"|"46"|
"50"|"T"|"50"|
"53"|"twin T"|"53"|
"56"|"T"|"76"|
"57"|"P"|"77"|"77T"
"59 Hi-É  Triode Connection"|"triple-grid"|"59Th"|
"71A"|"T"|"71A"|
"75"|"twin D, T"|"75"|
"76"|"T"|"76"|
"77"|"P"|"77"|"77T"
"211"|"T"|"211"|
"300B"|"T"|"300B"|
"354V"|"T"|"354V"|
"0528"|"twin T"|"6414"|
"801"|"T"|"801, 10"|
"829B"|"twin B"|"829B"|"829BT"
"845"|"T"|"845"|
"955"|"T"|"9002"|
"1619"|"B"|"1619"|"1619T"
"5687"|"twin T"|"5687"|
"5691"|"twin T"|"6SL7"|
"5692"|"twin T"|"6SN7"|
"5693"|"P"|"6SJ7"|"6SJ7T"
"5751"|"twin T"|"5751"|
"5842"|"T"|"5842"|
"5881"|"B"|"6L6"|"6L6T"
"5965"|"twin T"|"5965"|
"5998"|"twin T"|"5998"|
"6072"|"twin T"|"6072"|
"6080"|"twin T"|"6080"|
"6082"|"twin T"|"6080"|
"6113"|"twin T"|"6SL7"|
"6146B"|"B"|"6146B"|"6146BT"
"6197"|"P"|"6197"|"6197T"
"6201"|"twin T"|"12AT7"|
"6240G"|"twin T"|"6240G"|
"6267"|"P"|"6267"|"6267T"
"6336A"|"twin T"|"6336"|
"6350"|"twin T"|"6350"|
"6414"|"twin T"|"6414"|
"6550A"|"B"|"6550A"|"6550AT"
"6900"|"twin T"|"6900"|
"7119"|"twin T"|"E182CC"|
"7581, 7581A"|"B"|"6L6"|"6L6T"
"7591"|"P"|"7591"|"7591T"
"7868"|"P"|"7591"|"7591T"
"8045G"|"T"|"8045G"|
"8417"|"B"|"8417"|"8417T"
"9002"|"T"|"9002"|
"AD1"|"T"|"AD1"|
"CV1052"|"P"|"EL32"|"EL32T"
"CV1053"|"P"|"EF39"|"EF39T"
"CV2135"|"P"|"6BR7"|"6BR7T"
"DA30"|"T"|"DA30"|
"E180CC"|"twin T"|"E180CC"|
"E182CC"|"twin T"|"E182CC"|
"EC86"|"T"|"EC86"|
"EC94"|"T"|"6AF4"|
"ECC33"|"twin T"|"ECC33"|
"ECC35"|"twin T"|"ECC35"|
"ECC81"|"twin T"|"12AT7"|
"ECC82"|"twin T"|"12AU7"|
"ECC83"|"twin T"|"12AX7"|
"ECC84"|"twin T"|"ECC84"|
"ECC85"|"twin T"|"6AQ8"|
"ECC86"|"twin T"|"ECC86"|
"ECC88"|"twin T"|"ECC88"|
"ECC802S"|"twin T"|"12AU7"|
"ECC813"|"twin T"|"ECC86"|
"ECF82"||"6U8"|
"ECL82 Triode Section"|"T"|"6BM8T"|
"ECL82 Pentode Section"|"P"|"6BM8P"|"6BM8PT"
"ECL86 Triode Section"|"T"|"12AX7"|
"ECL86 Pentode Section"|"P"|"6GW8P"|"6GW8PT"
"EF39"|"P"|"EF39"|"EF39T"
"EF86"|"P"|"6267"|"6267T"
